region,local_authority,road_name,road_classification,managed_by,road_type,start_junction,end_junction,link_km,link_miles,easting,northing,latitude,longitude,count_point_id
East of England,Suffolk,A144,'A' road,Local authority,Major,A12,B1117,6.80,4.23,639926,273247,52.30490952,1.51790596,6687
East of England,Suffolk,A145,'A' road,Local authority,Major,A12,B1124 Halesworth Road,5.90,3.67,644340,280000,52.36355848,1.58741854,6688
East of England,Suffolk,A1117,'A' road,Local authority,Major,A146 Beccles Road,A146 Victoria Road,0.50,0.31,651960,292250,52.47001239,1.70830526,6689
East of England,Norfolk,A146,'A' road,Local authority,Major,A1054,A47,1.20,0.75,624854,306328,52.60818693,1.31950646,6690
East of England,Norfolk,A148,'A' road,Local authority,Major,A1078,Sandy Lane,1.10,0.68,565142,322496,52.77481893,0.44673488,6693
East of England,Norfolk,A149,'A' road,Local authority,Major,B1150,A1151,9.60,5.97,629802,327759,52.79843885,1.40740442,6695
East of England,Norfolk,A149,'A' road,Local authority,Major,B1156,A1082,14.40,8.95,610309,342852,52.94185784,1.12847581,6696
East Midlands,Lincolnshire,A152,'A' road,Local authority,Major,A52,A16,11.00,6.84,521818,335011,52.89876903,-0.19045240,6699
East Midlands,Lincolnshire,A153,'A' road,Local authority,Major,B1183,A158,1.60,0.99,526160,369000,53.20313603,-0.11265070,6700
East Midlands,Lincolnshire,A153,'A' road,Local authority,Major,A153 spur,B1188,2.20,1.37,508000,347500,53.01394196,-0.39162633,6701
East of England,Suffolk,A1021,'A' road,Local authority,Major,A154 Orwell Road,A154 Candlett Road Roundabout,2.10,1.30,630390,235000,51.96571634,1.35240155,6702
East Midlands,Lincolnshire,A157,'A' road,Local authority,Major,A158,A631,22.20,13.79,520056,385764,53.35516010,-0.19766267,6703
East Midlands,Lincolnshire,A158,'A' road,Local authority,Major,B1195,A16,10.20,6.34,540380,368101,53.19150141,0.09970224,6705
East Midlands,Lincolnshire,A159,'A' road,Local authority,Major,B1205,LA Boundary,8.90,5.53,487761,400196,53.49118442,-0.67870520,6706
Yorkshire and The Humber,East Riding of Yorkshire,A614,'A' road,Local authority,Major,A164 / A613 mini Rnbt in Holme,A614 / A1079,6.80,4.23,483730,440000,53.84951596,-0.72872837,6708
Yorkshire and The Humber,East Riding of Yorkshire,A164,'A' road,Local authority,Major,A1035,B1248,1.40,0.87,502880,440000,53.84607946,-0.43774261,6709
Yorkshire and The Humber,East Riding of Yorkshire,A165,'A' road,Local authority,Major,"Seathorne Rd, Bridlington",LA Boundary,4.00,2.49,516790,469450,54.10770239,-0.21515136,6711
Yorkshire and The Humber,East Riding of Yorkshire,A165,'A' road,Local authority,Major,B1244 (Leven Bypass Road to Hornsea,B1242 Lissett,14.10,8.76,512400,450000,53.93394855,-0.28944636,6712
Yorkshire and The Humber,"Kingston upon Hull, City of",A165,'A' road,Local authority,Major,A1033,Ings Rd,2.50,1.55,511370,430000,53.75449220,-0.31236626,6713
North East,Durham,A167,'A' road,Local authority,Major,Durham Road roundabout,A1(M),2.60,1.62,427780,551870,54.86085938,-1.56877119,6715
North East,Darlington,A167,'A' road,Local authority,Major,LA Boundary,A66,3.50,2.17,428000,510910,54.49276770,-1.56925217,6717
Yorkshire and The Humber,North Yorkshire,A167,'A' road,Local authority,Major,A168(T),A61,6.30,3.91,440000,476600,54.18363766,-1.38859377,6718
Yorkshire and The Humber,North Yorkshire,A170,'A' road,Local authority,Major,B1257,A169,21.20,13.17,469996,486114,54.26592104,-0.92683087,6720
Yorkshire and The Humber,North Yorkshire,A172,'A' road,Local authority,Major,A19(T),A173,12.60,7.83,450000,504940,54.43743603,-1.23065018,6723
North East,Stockton-on-Tees,A1130,'A' road,Local authority,Major,A66 slip,LA Boundary,1.50,0.93,446000,517685,54.55234186,-1.29033451,6725
North East,Middlesbrough,A174,'A' road,Highways England,Major,A172,LA Boundary,1.00,0.62,452200,516000,54.53660046,-1.19478663,6727
North East,Redcar and Cleveland,A174,'A' road,Local authority,Major,,,6.50,4.04,465000,521291,54.58266508,-0.99583036,6728
North East,Stockton-on-Tees,A177,'A' road,Local authority,Major,B1274 Junction Rd,LA Boundary,5.40,3.36,439900,523850,54.60825715,-1.38380304,6730
North East,Middlesbrough,A178,'A' road,Local authority,Major,A66,Transporter Bridge,1.80,1.12,449701,521010,54.58187139,-1.23256058,6731
North East,Sunderland,A182,'A' road,Local authority,Major,Newbottle St roundabout,A183,3.30,2.05,433420,552000,54.86168432,-1.48089840,6732
North East,South Tyneside,A183,'A' road,Local authority,Major,A1300,Beach Rd,4.40,2.73,439000,565670,54.98411670,-1.39212620,6733
North East,Durham,A183,'A' road,Local authority,Major,A1(M),A1052,2.30,1.43,428760,552000,54.86197245,-1.55349214,6734
North East,Gateshead,A184,'A' road,Local authority,Major,A195 Sunderland Rd,LA Boundary,0.40,0.25,430700,561420,54.94650472,-1.52227041,6735
North East,Newcastle upon Tyne,A186,'A' road,Local authority,Major,B1314,A187,3.60,2.24,428000,563600,54.96625188,-1.56420805,6736
North East,North Tyneside,A188,'A' road,Local authority,Major,A191,A189,2.00,1.24,426600,570000,55.02383842,-1.58548339,6737
North East,Northumberland,A189,'A' road,Local authority,Major,A193,A1147,1.20,0.75,428250,582100,55.13247406,-1.55848082,6738
North East,North Tyneside,A189,'A' road,Local authority,Major,A1056,A190,2.30,1.43,426160,572000,55.04183326,-1.59218293,6739
North East,Newcastle upon Tyne,A191,'A' road,Local authority,Major,A189,A188,1.60,0.99,426000,568200,55.00769502,-1.59503138,6740
North East,North Tyneside,A192,'A' road,Local authority,Major,A1058,A191,1.10,0.68,434800,570400,55.02692883,-1.45717891,6742
North East,Northumberland,A193,'A' road,Local authority,Major,A189,"Spring Park, Bedlington",2.70,1.68,428000,581420,55.12637800,-1.56246859,6743
North East,North Tyneside,A193,'A' road,Local authority,Major,A187,A1058,2.90,1.80,436000,568860,55.01300592,-1.43860191,6744
North East,Newcastle upon Tyne,A193,'A' road,Local authority,Major,A193/A167(M),A193,2.50,1.55,427000,564670,54.97592158,-1.57972659,6745
North East,South Tyneside,A194,'A' road,Local authority,Major,A19(T),A1300,0.70,0.43,434000,563700,54.96677934,-1.47048542,6746
London,Southwark,A101,'A' road,Local authority,Major,A200,LA Boundary,1.00,0.62,535500,180000,51.50270129,-0.04913206,6748
London,Greenwich,A200,'A' road,Local authority,Major,A2209,A2211/A206,1.00,0.62,538000,177700,51.48142819,-0.01403475,6749
London,Islington,A201,'A' road,Local authority,Major,Swinton St,Pentonville Rd,0.30,0.19,530680,182960,51.53043645,-0.11743997,6750
London,City of London,A201,'A' road,Local authority,Major,A3211,St Bride St,0.30,0.19,531650,181040,51.51295683,-0.10418114,6751
London,Southwark,A202,'A' road,Local authority,Major,A202 Clayton Rd,A2214 Lausanne rd,0.90,0.56,535000,176730,51.47343502,-0.05758147,6752
London,Greenwich,A205,'A' road,Local authority,Major,A205 John Wilson St,A206,0.70,0.43,543600,178700,51.48902117,0.06696219,6754
London,Greenwich,A205,'A' road,Local authority,Major,A205/A20,A210,0.70,0.43,541300,174400,51.45096089,0.03213854,6755
London,Lewisham,A205,'A' road,Local authority,Major,LA Boundary,A2216,0.80,0.50,535000,173070,51.44054414,-0.05897717,6756
London,Wandsworth,A205,'A' road,Local authority,Major,A219,A3,1.10,0.68,524500,174850,51.45894475,-0.20934525,6757
London,Richmond upon Thames,A205,'A' road,Local authority,Major,LA Boundary,A307,0.60,0.37,519014,177675,51.48551343,-0.28732165,6758
London,Greenwich,A206,'A' road,Local authority,Major,A206 Pettman Crescent,A209,1.30,0.81,545000,178740,51.48902365,0.08712937,6760
London,Greenwich,A206,'A' road,Local authority,Major,A206,A200 Creek Rd/Romney Rd,0.50,0.31,538290,177500,51.47956019,-0.00993954,6761
London,Bexley,A207,'A' road,Local authority,Major,A223,Roman Way,0.30,0.19,551200,174780,51.45182043,0.17466914,6762
London,Bexley,A207,'A' road,Local authority,Major,Welling Way,A209,0.90,0.56,546000,175940,51.46360717,0.10036611,6763
London,Bromley,A208,'A' road,Local authority,Major,A223,A222,4.70,2.92,544610,170000,51.41058886,0.07794495,6764
London,Bexley,A211,'A' road,Local authority,Major,LA Boundary,A222,2.00,1.24,545000,172220,51.43043737,0.08445725,6766
London,Lewisham,A212,'A' road,Local authority,Major,A2216,A213,0.20,0.12,535320,171530,51.42662850,-0.05496360,6767
London,Croydon,A213,'A' road,Local authority,Major,A212,A215,2.20,1.37,533380,168000,51.39536583,-0.08417799,6769
London,Lambeth,A214,'A' road,Local authority,Major,A215,B232,0.60,0.37,532000,171000,51.42264821,-0.10288618,6770
London,Croydon,A215,'A' road,Local authority,Major,A232,A222,0.90,0.56,535000,166160,51.37844730,-0.06160475,6773
London,Wandsworth,A217,'A' road,Local authority,Major,A24,A3,4.20,2.61,526600,172000,51.43286601,-0.18015223,6774
London,Hammersmith and Fulham,A219,'A' road,Local authority,Major,A304,A308,0.30,0.19,524370,176150,51.47065687,-0.21075868,6777
London,Bexley,A220,'A' road,Local authority,Major,A221,A206,3.40,2.11,550242,177014,51.47214803,0.16184174,6778
London,Bexley,A221,'A' road,Local authority,Major,A222,A210,1.10,0.68,547370,174000,51.44582064,0.11926530,6779
London,Bexley,A222,'A' road,Local authority,Major,A2001,A211,0.30,0.19,546170,171600,51.42456590,0.10101981,6780
London,Croydon,A222,'A' road,Local authority,Major,A212,A222 Cherry Orchard Rd,1.00,0.62,533000,166400,51.38107635,-0.09023572,6782
London,Bexley,A223,'A' road,Local authority,Major,A211 Maidstone Rd,A2018,3.30,2.05,548600,172000,51.42752877,0.13611252,6783
London,Bromley,A224,'A' road,Local authority,Major,A232,A223,1.20,0.75,546900,166000,51.37405929,0.10919603,6785
South East,Kent,A225,'A' road,Local authority,Major,B2174,A226,0.50,0.31,554070,173700,51.44134389,0.21547228,6786
South East,Kent,A225,'A' road,Local authority,Major,A224,A25,2.10,1.30,553052,154943,51.27308534,0.19277164,6787
South East,Kent,A226,'A' road,Local authority,Major,Home Gardens,A296,0.70,0.43,555000,173860,51.44252785,0.22891291,6789
South East,Medway,A228,'A' road,Local authority,Major,Roman Way,Priory Rd,1.30,0.81,573000,168800,51.39186586,0.48519734,6791
South East,Kent,A228,'A' road,Local authority,Major,A26,A228 spur with A20,6.00,3.73,566570,155000,51.26980911,0.38641801,6792
South East,Kent,A229,'A' road,Local authority,Major,B2079,B2163,3.50,2.17,575480,150000,51.22222188,0.51156692,6794
London,Bromley,A232,'A' road,Local authority,Major,A233,A21,1.00,0.62,542500,165130,51.36736210,0.04567621,6797
London,Sutton,A232,'A' road,Local authority,Major,LA Boundary,A2043,1.00,0.62,524000,163540,51.35740717,-0.22048780,6800
London,Croydon,A235,'A' road,Local authority,Major,A23,A213,1.30,0.81,531550,167000,51.38680576,-0.11083710,6801
London,Croydon,A235,'A' road,Local authority,Major,A22,A236,3.60,2.24,532531,163997,51.35959044,-0.09786560,6802
London,Croydon,A236,'A' road,Local authority,Major,A232,A213,1.50,0.93,531870,165700,51.37504888,-0.10672318,6804
London,Sutton,A237,'A' road,Local authority,Major,LA Boundary,A232,3.10,1.93,528900,164000,51.36045179,-0.14998634,6805
London,Kingston upon Thames,A240,'A' road,Local authority,Major,A3210,A307,3.40,2.11,518283,167984,51.39856666,-0.30107971,6807
South East,Surrey,A247,'A' road,Local authority,Major,A247 spur,B382,4.00,2.49,501860,156000,51.29402691,-0.54049385,6816
South East,Kent,A249,'A' road,Highways England,Major,M2 spur road roundabout,A2,3.70,2.30,587560,164000,51.34413268,0.69170361,6817
South East,Kent,A251,'A' road,Local authority,Major,Shottenden Rd,M2,7.00,4.35,600700,154970,51.25855675,0.87505134,6819
South East,Kent,A252,'A' road,Local authority,Major,A20(T),Faversham Rd,1.90,1.18,596000,150000,51.21555230,0.80506179,6820
South East,Kent,A299,'A' road,Local authority,Major,A28 Canterbury Road,B2190 Minster Rd,2.60,1.62,628652,165589,51.34337388,1.28179011,6821
South East,Kent,A255,'A' road,Local authority,Major,A254/A255 square,A256,3.50,2.17,635940,169950,51.37954254,1.38913233,6822
South East,Kent,A256,'A' road,Local authority,Major,A2(T),C road towards Nonington,9.10,5.65,630598,151909,51.21978595,1.30086185,6824
South East,Kent,A259,'A' road,Local authority,Major,B2063,A2033,3.40,2.11,620000,135060,51.07268330,1.13906234,6826
South East,Kent,A259,'A' road,Local authority,Major,B2075,B2071,2.00,1.24,606000,124620,50.98411743,0.93358372,6827
South East,East Sussex,A259,'A' road,Local authority,Major,A2101,B2093,3.20,1.99,582800,110000,50.86060941,0.59610559,6828
